"code.source","code.target","Relationship","adjustment","group.id"
70991,70991,"1:1","2022 to 2017",NA
70992,70992,"1:1","2022 to 2017",NA
70993,70993,"1:1","2022 to 2017",NA
70999,70999,"1:1","2022 to 2017",NA
71010,71010,"1:1","2022 to 2017",NA
71021,71021,"1:1","2022 to 2017",NA
71022,71022,"1:1","2022 to 2017",NA
71029,71029,"1:1","2022 to 2017",NA
71030,71030,"1:1","2022 to 2017",NA
71040,71040,"1:1","2022 to 2017",NA
71080,71080,"1:1","2022 to 2017",NA
71090,71090,"1:1","2022 to 2017",NA
71120,71120,"1:1","2022 to 2017",NA
71140,71140,"1:1","2022 to 2017",NA
71151,71151,"1:1","2022 to 2017",NA
71159,71159,"1:1","2022 to 2017",NA
71190,71190,"1:1","2022 to 2017",NA
71220,71220,"1:1","2022 to 2017",NA
71231,71231,"1:1","2022 to 2017",NA
71232,71232,"1:1","2022 to 2017",NA
71233,71233,"1:1","2022 to 2017",NA
71234,71239,"n:1","2022 to 2017",NA
71239,71239,"n:1","2022 to 2017",NA
71290,71290,"1:1","2022 to 2017",NA
71310,71310,"1:1","2022 to 2017",NA
71320,71320,"1:1","2022 to 2017",NA
71331,71331,"1:1","2022 to 2017",NA
71332,71332,"1:1","2022 to 2017",NA
71333,71333,"1:1","2022 to 2017",NA
71334,71334,"1:1","2022 to 2017",NA
71335,71335,"1:1","2022 to 2017",NA
71339,71339,"1:1","2022 to 2017",NA
71340,71340,"1:1","2022 to 2017",NA
71350,71350,"1:1","2022 to 2017",NA
71360,71360,"1:1","2022 to 2017",NA
71390,71390,"1:1","2022 to 2017",NA
71410,71410,"1:1","2022 to 2017",NA
71420,71420,"1:1","2022 to 2017",NA
71430,71430,"1:1","2022 to 2017",NA
71440,71440,"1:1","2022 to 2017",NA
71450,71450,"1:1","2022 to 2017",NA
71490,71490,"1:1","2022 to 2017",NA
80111,80111,"1:1","2022 to 2017",NA
80112,80112,"1:1","2022 to 2017",NA
80119,80119,"1:1","2022 to 2017",NA
80121,80121,"1:1","2022 to 2017",NA
80122,80122,"1:1","2022 to 2017",NA
80131,80131,"1:1","2022 to 2017",NA
80132,80132,"1:1","2022 to 2017",NA
80211,80211,"1:1","2022 to 2017",NA
80212,80212,"1:1","2022 to 2017",NA
80221,80221,"1:1","2022 to 2017",NA
80222,80222,"1:1","2022 to 2017",NA
80231,80231,"1:1","2022 to 2017",NA
80232,80232,"1:1","2022 to 2017",NA
80241,80241,"1:1","2022 to 2017",NA
80242,80242,"1:1","2022 to 2017",NA
80251,80251,"1:1","2022 to 2017",NA
80252,80252,"1:1","2022 to 2017",NA
80261,80261,"1:1","2022 to 2017",NA
80262,80262,"1:1","2022 to 2017",NA
80270,80270,"1:1","2022 to 2017",NA
80280,80280,"1:1","2022 to 2017",NA
80291,80290,"n:1","2022 to 2017",NA
80292,80290,"n:1","2022 to 2017",NA
80299,80290,"n:1","2022 to 2017",NA
80310,80310,"1:1","2022 to 2017",NA
80390,80390,"1:1","2022 to 2017",NA
80410,80410,"1:1","2022 to 2017",NA
80420,80420,"1:1","2022 to 2017",NA
80430,80430,"1:1","2022 to 2017",NA
80440,80440,"1:1","2022 to 2017",NA
80450,80450,"1:1","2022 to 2017",NA
80510,80510,"1:1","2022 to 2017",NA
80521,80521,"1:1","2022 to 2017",NA
80522,80522,"1:1","2022 to 2017",NA
80529,80529,"1:1","2022 to 2017",NA
80540,80540,"1:1","2022 to 2017",NA
80550,80550,"1:1","2022 to 2017",NA
80590,80590,"1:1","2022 to 2017",NA
80610,80610,"1:1","2022 to 2017",NA
80620,80620,"1:1","2022 to 2017",NA
80711,80711,"1:1","2022 to 2017",NA
80719,80719,"1:1","2022 to 2017",NA
80720,80720,"1:1","2022 to 2017",NA
80810,80810,"1:1","2022 to 2017",NA
80830,80830,"1:1","2022 to 2017",NA
80840,80840,"1:1","2022 to 2017",NA
80910,80910,"1:1","2022 to 2017",NA
80921,80921,"1:1","2022 to 2017",NA
80929,80929,"1:1","2022 to 2017",NA
80930,80930,"1:1","2022 to 2017",NA
80940,80940,"1:1","2022 to 2017",NA
81010,81010,"1:1","2022 to 2017",NA
81020,81020,"1:1","2022 to 2017",NA
81030,81030,"1:1","2022 to 2017",NA
81040,81040,"1:1","2022 to 2017",NA
81050,81050,"1:1","2022 to 2017",NA
81060,81060,"1:1","2022 to 2017",NA
81070,81070,"1:1","2022 to 2017",NA
81090,81090,"1:1","2022 to 2017",NA
81110,81110,"1:1","2022 to 2017",NA
81120,81120,"1:1","2022 to 2017",NA
81190,81190,"1:1","2022 to 2017",NA
