code.after,code.before,Relationship,adjustment
4222,4242,n:n,1988 to 1976
4222,4312,n:n,1988 to 1976
4223,4243,n:n,1988 to 1976
4223,4312,n:n,1988 to 1976
4224,4244,n:n,1988 to 1976
4224,4249,n:n,1988 to 1976
4224,4312,n:n,1988 to 1976
4225,4245,n:n,1988 to 1976
4225,4312,n:n,1988 to 1976
4229,4249,n:n,1988 to 1976
4229,4312,n:n,1988 to 1976
4229,4314,n:n,1988 to 1976
4311,4232,n:n,1988 to 1976
4311,4233,n:n,1988 to 1976
4311,4234,n:n,1988 to 1976
4311,4235,n:n,1988 to 1976
4311,4236,n:n,1988 to 1976
4311,4239,n:n,1988 to 1976
4311,4241,n:n,1988 to 1976
4311,4242,n:n,1988 to 1976
4311,4243,n:n,1988 to 1976
4311,4244,n:n,1988 to 1976
4311,4245,n:n,1988 to 1976
4311,4249,n:n,1988 to 1976
4311,4311,1:n,1988 to 1976
4311,5852,n:n,1988 to 1976
4312,4111,n:n,1988 to 1976
4312,4113,n:n,1988 to 1976
4312,4312,n:n,1988 to 1976
4312,4232,n:n,1988 to 1976
4312,4233,n:n,1988 to 1976
4312,4234,n:n,1988 to 1976
4312,4235,n:n,1988 to 1976
4312,4236,n:n,1988 to 1976
4312,4239,n:n,1988 to 1976
4312,4241,n:n,1988 to 1976
4312,4242,n:n,1988 to 1976
4312,4243,n:n,1988 to 1976
4312,4244,n:n,1988 to 1976
4312,4245,n:n,1988 to 1976
4312,4249,n:n,1988 to 1976
4312,5983,n:n,1988 to 1976
4313,4313,1:1,1988 to 1976
4314,4314,n:1,1988 to 1976
5111,5111,n:1,1988 to 1976
5112,5112,1:1,1988 to 1976
5113,5113,1:1,1988 to 1976
5114,5114,1:1,1988 to 1976
5121,5121,n:n,1988 to 1976
5121,5983,n:n,1988 to 1976
5121,5169,n:n,1988 to 1976
5122,5121,n:n,1988 to 1976
5122,5111,n:n,1988 to 1976
5122,5169,n:n,1988 to 1976
5123,5122,1:1,1988 to 1976
5124,5123,1:1,1988 to 1976
5137,5137,1:1,1988 to 1976
5138,5138,1:1,1988 to 1976
5139,5139,n:1,1988 to 1976
5145,5145,1:1,1988 to 1976
5146,5146,1:1,1988 to 1976
5147,5147,n:1,1988 to 1976
5148,5148,n:1,1988 to 1976
5154,5154,n:1,1988 to 1976
5155,5155,1:1,1988 to 1976
5156,5156,n:n,1988 to 1976
5156,5139,n:n,1988 to 1976
5156,5161,n:n,1988 to 1976
5156,5162,n:n,1988 to 1976
5157,5156,n:n,1988 to 1976
5157,5147,n:n,1988 to 1976
5157,5148,n:n,1988 to 1976
5157,5154,n:n,1988 to 1976
5157,5157,n:n,1988 to 1976
5158,5157,n:1,1988 to 1976
5161,5161,n:1,1988 to 1976
5162,5162,n:1,1988 to 1976
5163,5163,1:1,1988 to 1976
5169,5169,n:1,1988 to 1976
5221,5221,n:1,1988 to 1976
5222,5221,n:1,1988 to 1976
5223,5222,1:1,1988 to 1976
5224,5223,1:1,1988 to 1976
5225,5224,1:1,1988 to 1976
5226,5225,1:1,1988 to 1976
5231,5231,n:1,1988 to 1976
5232,5231,n:1,1988 to 1976
5233,5231,n:1,1988 to 1976
5234,5231,n:1,1988 to 1976
5235,5232,n:n,1988 to 1976
5235,5621,n:n,1988 to 1976
5235,5629,n:n,1988 to 1976
5236,5232,n:1,1988 to 1976
5237,5232,n:1,1988 to 1976
5238,5232,n:n,1988 to 1976
5238,5989,n:n,1988 to 1976
5243,5233,1:1,1988 to 1976
5249,5239,n:1,1988 to 1976
5251,5241,1:n,1988 to 1976
5251,6716,n:n,1988 to 1976
5251,5249,n:n,1988 to 1976
5251,6880,1:n,1988 to 1976
5251,5331,n:n,1988 to 1976
5259,5249,n:1,1988 to 1976
5311,5311,1:1,1988 to 1976
5312,5312,n:1,1988 to 1976
5322,5322,1:n,1988 to 1976
5322,5312,n:n,1988 to 1976
5323,5323,1:1,1988 to 1976
5331,5331,n:1,1988 to 1976
5332,5332,1:1,1988 to 1976
5334,5334,1:1,1988 to 1976
5335,5335,1:n,1988 to 1976
5335,8959,n:n,1988 to 1976
5335,5989,n:n,1988 to 1976
5411,5411,1:1,1988 to 1976
5413,5413,1:1,1988 to 1976
5414,5414,1:1,1988 to 1976
5415,5415,1:1,1988 to 1976
5416,5416,n:n,1988 to 1976
5416,5852,n:n,1988 to 1976
5416,5417,n:n,1988 to 1976
5416,5922,n:n,1988 to 1976
5419,5419,1:n,1988 to 1976
5419,5416,n:n,1988 to 1976
5419,5417,n:n,1988 to 1976
5419,5989,n:n,1988 to 1976
5421,5417,n:1,1988 to 1976
5422,5417,n:1,1988 to 1976
5423,5417,n:1,1988 to 1976
5429,5417,n:1,1988 to 1976
5513,5513,1:n,1988 to 1976
5513,5530,n:n,1988 to 1976
5514,5514,1:1,1988 to 1976
5531,5530,n:1,1988 to 1976
5532,5530,n:1,1988 to 1976
5533,5530,n:1,1988 to 1976
5534,5530,n:1,1988 to 1976
5535,5530,n:n,1988 to 1976
5535,5542,n:n,1988 to 1976
5535,6572,n:n,1988 to 1976
5535,6577,n:n,1988 to 1976
5541,5530,n:n,1988 to 1976
5541,5541,1:n,1988 to 1976
5541,5542,n:n,1988 to 1976
5541,6571,n:n,1988 to 1976
5541,6572,n:n,1988 to 1976
5542,5542,n:1,1988 to 1976
5543,5543,1:1,1988 to 1976
5621,5621,n:n,1988 to 1976
5621,5239,n:n,1988 to 1976
5622,5622,1:1,1988 to 1976
5623,5623,n:n,1988 to 1976
5623,5231,n:n,1988 to 1976
5623,5232,n:n,1988 to 1976
5629,5629,n:n,1988 to 1976
5629,5231,n:n,1988 to 1976
5629,5232,n:n,1988 to 1976
5629,5239,n:n,1988 to 1976
5629,5621,n:n,1988 to 1976
5629,5623,n:n,1988 to 1976
5711,5831,n:1,1988 to 1976
5712,5839,n:1,1988 to 1976
5719,5839,n:1,1988 to 1976
5721,5833,n:1,1988 to 1976
5729,5833,n:1,1988 to 1976
5731,5834,n:1,1988 to 1976
5739,5835,n:n,1988 to 1976
5739,5839,n:n,1988 to 1976
5741,5829,n:1,1988 to 1976
5742,5826,n:1,1988 to 1976
5743,5823,n:1,1988 to 1976
5751,5832,n:n,1988 to 1976
5751,5839,n:n,1988 to 1976
5752,5836,n:1,1988 to 1976
5753,5824,n:1,1988 to 1976
5754,5822,n:n,1988 to 1976
5754,5821,n:n,1988 to 1976
5754,5825,n:n,1988 to 1976
5755,5843,n:n,1988 to 1976
5755,5842,n:n,1988 to 1976
5755,5849,n:n,1988 to 1976
5755,5841,n:n,1988 to 1976
5755,5852,n:n,1988 to 1976
5759,5837,n:n,1988 to 1976
5759,5839,n:n,1988 to 1976
5759,5827,n:n,1988 to 1976
5759,5852,n:n,1988 to 1976
5759,5851,n:n,1988 to 1976
5759,5829,n:n,1988 to 1976
5759,5828,1:n,1988 to 1976
5759,5838,1:n,1988 to 1976
5791,5831,n:n,1988 to 1976
5791,5839,n:n,1988 to 1976
5792,5833,n:1,1988 to 1976
5793,5834,n:n,1988 to 1976
5793,5835,n:n,1988 to 1976
5793,5839,n:n,1988 to 1976
5799,5821,n:n,1988 to 1976
5799,5822,n:n,1988 to 1976
5799,5823,n:n,1988 to 1976
5799,5824,n:n,1988 to 1976
5799,5825,n:n,1988 to 1976
5799,5826,n:n,1988 to 1976
5799,5827,n:n,1988 to 1976
5799,5829,n:n,1988 to 1976
5799,5832,n:n,1988 to 1976
5799,5835,n:n,1988 to 1976
5799,5836,n:n,1988 to 1976
5799,5837,n:n,1988 to 1976
5799,5839,n:n,1988 to 1976
5799,5841,n:n,1988 to 1976
5799,5842,n:n,1988 to 1976
5799,5843,n:n,1988 to 1976
5799,5849,n:n,1988 to 1976
5799,5851,n:n,1988 to 1976
5799,5852,n:n,1988 to 1976
5811,5841,n:n,1988 to 1976
5811,5843,n:n,1988 to 1976
5811,5849,n:n,1988 to 1976
5811,5852,n:n,1988 to 1976
5811,8939,n:n,1988 to 1976
5812,5821,n:n,1988 to 1976
5812,5822,n:n,1988 to 1976
5812,5823,n:n,1988 to 1976
5812,5824,n:n,1988 to 1976
5812,5825,n:n,1988 to 1976
5812,5826,n:n,1988 to 1976
5812,5827,n:n,1988 to 1976
5812,5829,n:n,1988 to 1976
5812,5831,n:n,1988 to 1976
5812,5832,n:n,1988 to 1976
5812,5833,n:n,1988 to 1976
5812,5834,n:n,1988 to 1976
5812,5835,n:n,1988 to 1976
5812,5836,n:n,1988 to 1976
5812,5837,n:n,1988 to 1976
5812,5839,n:n,1988 to 1976
5812,5842,n:n,1988 to 1976
5812,5843,n:n,1988 to 1976
5812,5849,n:n,1988 to 1976
5812,5851,n:n,1988 to 1976
5812,5852,n:n,1988 to 1976
5812,8939,n:n,1988 to 1976
5813,5821,n:n,1988 to 1976
5813,5822,n:n,1988 to 1976
5813,5823,n:n,1988 to 1976
5813,5824,n:n,1988 to 1976
5813,5825,n:n,1988 to 1976
5813,5826,n:n,1988 to 1976
5813,5827,n:n,1988 to 1976
5813,5829,n:n,1988 to 1976
5813,5831,n:n,1988 to 1976
5813,5832,n:n,1988 to 1976
5813,5833,n:n,1988 to 1976
5813,5834,n:n,1988 to 1976
5813,5835,n:n,1988 to 1976
5813,5836,n:n,1988 to 1976
5813,5837,n:n,1988 to 1976
5813,5839,n:n,1988 to 1976
5813,5842,n:n,1988 to 1976
5813,5843,n:n,1988 to 1976
5813,5849,n:n,1988 to 1976
5813,5851,n:n,1988 to 1976
5813,5852,n:n,1988 to 1976
5813,8939,n:n,1988 to 1976
5814,5821,n:n,1988 to 1976
5814,5822,n:n,1988 to 1976
5814,5823,n:n,1988 to 1976
5814,5824,n:n,1988 to 1976
5814,5825,n:n,1988 to 1976
5814,5826,n:n,1988 to 1976
5814,5827,n:n,1988 to 1976
5814,5829,n:n,1988 to 1976
5814,5831,n:n,1988 to 1976
5814,5832,n:n,1988 to 1976
5814,5833,n:n,1988 to 1976
5814,5834,n:n,1988 to 1976
5814,5835,n:n,1988 to 1976
5814,5836,n:n,1988 to 1976
5814,5837,n:n,1988 to 1976
5814,5839,n:n,1988 to 1976
5814,5842,n:n,1988 to 1976
5814,5843,n:n,1988 to 1976
5814,5849,n:n,1988 to 1976
5814,5851,n:n,1988 to 1976
5814,5852,n:n,1988 to 1976
5814,8939,n:n,1988 to 1976
5815,8939,n:1,1988 to 1976
5816,5821,n:n,1988 to 1976
5816,5822,n:n,1988 to 1976
5816,5823,n:n,1988 to 1976
5816,5824,n:n,1988 to 1976
5816,5825,n:n,1988 to 1976
5816,5826,n:n,1988 to 1976
5816,5827,n:n,1988 to 1976
5816,5829,n:n,1988 to 1976
5816,5831,n:n,1988 to 1976
5816,5832,n:n,1988 to 1976
5816,5833,n:n,1988 to 1976
5816,5834,n:n,1988 to 1976
5816,5835,n:n,1988 to 1976
5816,5836,n:n,1988 to 1976
5816,5837,n:n,1988 to 1976
