code.after,code.before,Relationship,adjustment
6999,6893,n:n,1976 to 1962
6999,6989,n:n,1976 to 1962
6999,6895,n:n,1976 to 1962
6999,6911,n:n,1976 to 1962
6999,6912,n:n,1976 to 1962
6999,6913,n:n,1976 to 1962
7111,7111,n:1,1976 to 1962
7112,7112,n:1,1976 to 1962
7119,7111,n:n,1976 to 1962
7119,7112,n:n,1976 to 1962
7126,7113,n:1,1976 to 1962
7129,7113,n:1,1976 to 1962
7131,7114,n:1,1976 to 1962
7132,7115,n:1,1976 to 1962
7133,7115,n:1,1976 to 1962
7138,7115,n:1,1976 to 1962
7139,7115,n:1,1976 to 1962
7144,7114,n:1,1976 to 1962
7148,7114,n:n,1976 to 1962
7148,7116,n:n,1976 to 1962
7149,7114,n:n,1976 to 1962
7149,7116,n:n,1976 to 1962
7149,7118,n:n,1976 to 1962
7161,7221,n:1,1976 to 1962
7162,7221,n:1,1976 to 1962
7163,7221,n:1,1976 to 1962
7169,7222,n:1,1976 to 1962
7187,7117,1:1,1976 to 1962
7188,7118,n:n,1976 to 1962
7188,7114,n:n,1976 to 1962
7211,7121,1:1,1976 to 1962
7212,7122,1:1,1976 to 1962
7213,7123,n:1,1976 to 1962
7219,7129,1:1,1976 to 1962
7223,7125,n:1,1976 to 1962
7224,7125,n:1,1976 to 1962
7233,7184,n:1,1976 to 1962
7234,7184,n:n,1976 to 1962
7234,7198,n:n,1976 to 1962
7239,7184,n:1,1976 to 1962
7243,7173,1:1,1976 to 1962
7244,7171,n:1,1976 to 1962
7245,7171,n:1,1976 to 1962
7246,7171,n:1,1976 to 1962
7247,7171,n:1,1976 to 1962
7248,7172,1:1,1976 to 1962
7251,7181,n:1,1976 to 1962
7252,7181,n:1,1976 to 1962
7259,7181,n:1,1976 to 1962
7263,7182,n:1,1976 to 1962
7264,7182,n:1,1976 to 1962
7267,7182,n:1,1976 to 1962
7268,7182,n:1,1976 to 1962
7269,7182,n:1,1976 to 1962
7271,7183,n:1,1976 to 1962
7272,7198,n:n,1976 to 1962
7272,7183,n:n,1976 to 1962
7281,7195,n:1,1976 to 1962
7283,7185,n:1,1976 to 1962
7284,7185,n:n,1976 to 1962
7284,7198,n:n,1976 to 1962
7361,7151,n:1,1976 to 1962
7362,7151,n:1,1976 to 1962
7367,7151,n:1,1976 to 1962
7368,7195,n:1,1976 to 1962
