code.after,code.before,Relationship,adjustment
58239,5811,n:1,1976 to 1962
58241,5811,n:1,1976 to 1962
58242,5811,n:1,1976 to 1962
58249,5811,n:1,1976 to 1962
58251,5811,n:1,1976 to 1962
58259,5811,n:1,1976 to 1962
58261,5811,n:1,1976 to 1962
58269,5811,n:1,1976 to 1962
5827,5811,n:1,1976 to 1962
5828,5811,n:1,1976 to 1962
5829,5811,n:1,1976 to 1962
58311,5812,n:1,1976 to 1962
58312,5812,n:1,1976 to 1962
58313,5812,n:1,1976 to 1962
58319,5812,n:1,1976 to 1962
58321,5812,n:1,1976 to 1962
58322,5812,n:1,1976 to 1962
58329,5812,n:1,1976 to 1962
58331,5812,n:1,1976 to 1962
58332,5812,n:1,1976 to 1962
58333,5812,n:1,1976 to 1962
58339,5812,n:1,1976 to 1962
58341,5812,n:1,1976 to 1962
58342,5812,n:1,1976 to 1962
58343,5812,n:1,1976 to 1962
58349,5812,n:1,1976 to 1962
58351,5812,n:1,1976 to 1962
58352,5812,n:1,1976 to 1962
58353,5812,n:1,1976 to 1962
58359,5812,n:1,1976 to 1962
58361,5812,n:1,1976 to 1962
58362,5812,n:1,1976 to 1962
58369,5812,n:1,1976 to 1962
5837,5812,n:1,1976 to 1962
5838,5812,n:1,1976 to 1962
5839,5812,n:1,1976 to 1962
5841,58132,n:1,1976 to 1962
58421,58132,n:1,1976 to 1962
58422,58132,n:1,1976 to 1962
58431,58132,n:1,1976 to 1962
58432,58132,n:1,1976 to 1962
58491,58132,n:1,1976 to 1962
58492,58132,n:1,1976 to 1962
58493,58131,1:1,1976 to 1962
5851,58192,1:1,1976 to 1962
58521,58191,1:1,1976 to 1962
58522,58199,n:1,1976 to 1962
58529,58199,n:1,1976 to 1962
5911,5992,n:1,1976 to 1962
5912,5992,n:1,1976 to 1962
5913,5992,n:1,1976 to 1962
59141,5992,n:1,1976 to 1962
59149,5992,n:1,1976 to 1962
59211,59951,1:1,1976 to 1962
59212,59952,1:1,1976 to 1962
59221,59953,1:1,1976 to 1962
59222,59954,1:1,1976 to 1962
59223,59955,1:1,1976 to 1962
59224,59956,1:1,1976 to 1962
59225,59957,1:1,1976 to 1962
59229,59959,1:1,1976 to 1962
59811,59961,1:1,1976 to 1962
59812,59962,1:1,1976 to 1962
