,code.before,code.after,Relationship,adjustment
676,448110,448110,1:1,2007 to 2012
677,448120,448120,1:1,2007 to 2012
678,448130,448130,1:1,2007 to 2012
679,448140,448140,1:1,2007 to 2012
680,448150,448150,1:1,2007 to 2012
681,448190,448190,1:1,2007 to 2012
682,448210,448210,1:1,2007 to 2012
683,448310,448310,1:1,2007 to 2012
684,448320,448320,1:1,2007 to 2012
685,451110,451110,1:1,2007 to 2012
686,451120,451120,1:1,2007 to 2012
687,451130,451130,1:1,2007 to 2012
688,451140,451140,1:1,2007 to 2012
689,451211,451211,1:1,2007 to 2012
690,451212,451212,1:1,2007 to 2012
691,452111,452111,1:1,2007 to 2012
692,452112,452112,1:1,2007 to 2012
693,452910,452910,1:1,2007 to 2012
